seed,model,calibration,conformal,error,metric_model_kind,metric_train_accuracy,metric_train_kappa,metric_accuracy,metric_ece,metric_mce,metric_brier,time_train_s,time_calibrate_s,time_conformal_s,metric_q_hat,metric_coverage,metric_avg_set_size,metric_fraction_singleton,metric_ess_ratio,metric_weight_max,metric_stage1_train_accuracy
42,baseline,raw,none,,random_forest,0.6869223205506392,0.6086529006882989,0.28888888888888886,0.03974542826500608,0.18741688813508783,0.7764835224698173,9.259810458002903,0.037338333000661805,7.208000170066953e-06,,,,,,,
42,baseline,raw,aps,,random_forest,0.6869223205506392,0.6086529006882989,0.28888888888888886,0.03974542826500608,0.18741688813508783,0.7764835224698173,9.259810458002903,0.03740841599937994,0.0003092500046477653,1.0,0.9555555555555556,4.668148148148148,0.0,,,
42,baseline,raw,weighted_aps,,random_forest,0.6869223205506392,0.6086529006882989,0.28888888888888886,0.03974542826500608,0.18741688813508783,0.7764835224698173,9.259810458002903,0.03748320899467217,0.013404000004811678,0.9999999999999999,0.9032098765432098,4.243456790123457,0.0,0.016934084069137108,50.0,
42,baseline,sigmoid,none,,random_forest,0.6869223205506392,0.6086529006882989,0.2641975308641975,0.044387843055432814,0.32496068644177273,0.792204766689019,9.259810458002903,0.08255374999862397,7.90998456068337e-07,,,,,,,
42,baseline,sigmoid,aps,,random_forest,0.6869223205506392,0.6086529006882989,0.2641975308641975,0.044387843055432814,0.32496068644177273,0.792204766689019,9.259810458002903,0.07669837499997811,0.0002132500012521632,1.0,0.9837037037037037,4.910617283950617,0.0,,,
42,baseline,sigmoid,weighted_aps,,random_forest,0.6869223205506392,0.6086529006882989,0.2641975308641975,0.044387843055432814,0.32496068644177273,0.792204766689019,9.259810458002903,0.07862466700316872,0.01208220799890114,0.9999999999999999,0.8760493827160494,4.213827160493827,0.0,0.016934084069137108,50.0,
42,hierarchical,raw,none,,,0.39993444772205833,0.24991805965257297,0.28,0.09204496538802819,0.8990807993656753,0.8081001498027189,50.694036249995406,2.9757898750031018,4.083005478605628e-06,,,,,,,0.810750573582432
42,hierarchical,raw,aps,,,0.39993444772205833,0.24991805965257297,0.28,0.09204496538802819,0.8990807993656753,0.8081001498027189,50.694036249995406,2.9372150839990354,0.00032824999652802944,1.0,0.9644444444444444,4.713086419753086,0.0,,,0.810750573582432
42,hierarchical,raw,weighted_aps,,,0.39993444772205833,0.24991805965257297,0.28,0.09204496538802819,0.8990807993656753,0.8081001498027189,50.694036249995406,2.966070624999702,0.011943958001211286,0.9999999999999999,0.9259259259259259,4.391111111111111,0.0,0.016934084069137108,50.0,0.810750573582432
42,hierarchical,sigmoid,none,,,0.39993444772205833,0.24991805965257297,0.2967901234567901,0.06082399098786336,0.42130563674726057,0.7891007876203932,50.694036249995406,4.43702195899823,1.3749959180131555e-06,,,,,,,0.810750573582432
42,hierarchical,sigmoid,aps,,,0.39993444772205833,0.24991805965257297,0.2967901234567901,0.06082399098786336,0.42130563674726057,0.7891007876203932,50.694036249995406,4.447885542002041,0.00027054199745180085,1.0,0.9896296296296296,4.956049382716049,0.0,,,0.810750573582432
42,hierarchical,sigmoid,weighted_aps,,,0.39993444772205833,0.24991805965257297,0.2967901234567901,0.06082399098786336,0.42130563674726057,0.7891007876203932,50.694036249995406,4.436871458005044,0.011286540997389238,0.9999999999999999,0.8790123456790123,4.1718518518518515,0.0,0.016934084069137108,50.0,0.810750573582432
